"","Trial_1","Trial_2","Trial_3","Trial_4","Trial_5","Trial_6","Trial_7","Trial_8","Trial_9","Trial_10","Trial_11","Trial_12","Trial_13","Trial_14","Trial_15","Trial_16","Trial_17","Trial_18","Trial_19","Trial_20","Trial_21","Trial_22","Trial_23","Trial_24","Trial_25","Trial_26","Trial_27","Trial_28","Trial_29","Trial_30","Trial_31","Trial_32","Trial_33","Trial_34","Trial_35","Trial_36","Trial_37","Trial_38","Trial_39","Trial_40","Trial_41","Trial_42","Trial_43","Trial_44","Trial_45","Trial_46","Trial_47","Trial_48","Trial_49","Trial_50","Trial_51","Trial_52","Trial_53","Trial_54","Trial_55","Trial_56","Trial_57","Trial_58","Trial_59","Trial_60","Trial_61","Trial_62","Trial_63","Trial_64","Trial_65","Trial_66","Trial_67","Trial_68","Trial_69","Trial_70","Trial_71","Trial_72","Trial_73","Trial_74","Trial_75","Trial_76","Trial_77","Trial_78","Trial_79","Trial_80","Trial_81","Trial_82","Trial_83","Trial_84","Trial_85","Trial_86","Trial_87","Trial_88","Trial_89","Trial_90","Trial_91","Trial_92","Trial_93","Trial_94","Trial_95","Trial_96","Trial_97","Trial_98","Trial_99","Trial_100"
"Signature 1",0.0599193177654852,0.0601513861884418,0.0582469655643439,0.0561811761814407,0.0597645195349104,0.0551546917578416,0.0580966518238636,0.059074512124017,0.0535312631576686,0.0607381984260339,0.0534630586909213,0.0614690321278391,0.0605633550001483,0.0607555863975833,0.0528625076086072,0.0575349486721828,0.054732752150175,0.0545658305011176,0.0609025339899693,0.0532786204846719,0.0593172250834457,0.0571952073653023,0.0571410344057663,0.061130675187326,0.0522522817311079,0.0573214295579995,0.0605995216021334,0.0543171715613902,0.059538036641178,0.0631167117709319,0.0531725911197174,0.0530055861364807,0.0548531869769305,0.0616729616565034,0.0569261160707041,0.0551994013674454,0.0598048099442481,0.0588710870057973,0.0590590571695339,0.0554749191893707,0.0576519408348732,0.0570969980722927,0.0652380580537713,0.0577001655602358,0.0566676614871764,0.058352817221974,0.0582605368907398,0.0561721610502096,0.0618779916443747,0.0561523086581272,0.0628676749511006,0.0549143376821189,0.0587337813173993,0.0546063345365457,0.0575574251581812,0.0659855134646731,0.0543168641318873,0.05972907933251,0.0560593674381273,0.0598775433553894,0.0524086684633385,0.054435438157459,0.0596206019071808,0.0638256957037006,0.0583564152575194,0.0639512044052288,0.0541498336278337,0.0536132321928796,0.0559065191264609,0.0625700929680242,0.0605627378806144,0.0538594457245513,0.0565385498905793,0.0542694646434422,0.0559468091749809,0.0578057387130732,0.0607292193987378,0.0589678927788412,0.0577156461132041,0.0564212877665598,0.0542220750089927,0.0543224520679315,0.0615465237918932,0.0615023387775788,0.0649431912056838,0.0575802090979332,0.0560041551652854,0.0596279168885019,0.0506253800225856,0.0593470655431002,0.0596011450298097,0.0542749488685391,0.0527726851689021,0.0551164782438477,0.0601553633308287,0.0621319150589915,0.0605657337300972,0.0589262897519102,0.0518022852129518,0.0556074889968721
"Signature 2",0.00932980019416509,0.00854285124904818,0.0111514118403481,0.00887829903285538,0.0103398832613964,0.00980030659900004,0.00964571674479312,0.00930997658060857,0.00865415764759485,0.00792873275338409,0.00932356505996186,0.00726006832433385,0.010606808301771,0.00964822603786177,0.00986759986161238,0.0103029159091374,0.0088311665016433,0.00993511640651768,0.0105634184510721,0.00781899362907838,0.00968671039247699,0.0094023370141034,0.00750266402691235,0.00736020060142894,0.0106123250195678,0.00936669984634983,0.00924416594020006,0.0100186028172992,0.00899238055501899,0.00709238401425343,0.00901512236668824,0.00870859289075927,0.0093005134739713,0.00920741283435603,0.00962723881913165,0.010432553651884,0.00994827089395132,0.00936412262746792,0.00905044281189923,0.00789446741201317,0.0099770957459084,0.00906821381395605,0.0103566427899746,0.00876410125309455,0.00932928547527194,0.00809749175180625,0.0097094197109841,0.00885876471482756,0.00732956633189116,0.00888783173170755,0.00829000776036656,0.00906013724964579,0.00968479406912367,0.00915354271222584,0.00717285381865545,0.00931628886693621,0.0103171898314407,0.00887608081511001,0.00931610322643833,0.00868440659629674,0.00973164106188574,0.0110170649163288,0.00918370522453236,0.00825761566666753,0.00815595839003407,0.0106220267871842,0.00893818000870911,0.0102880880380742,0.00935071562420225,0.00980141869561765,0.00813738071549829,0.00898515954126284,0.00959007663338802,0.00844812592276078,0.00893833181255414,0.00919864742783972,0.00938487887543603,0.00933168501055411,0.00985113995931485,0.008081733470711,0.00913197048079119,0.00903522133984218,0.00848447810750702,0.00756843250756941,0.00939594293343526,0.0105063423283418,0.0085725669487882,0.0102694171278614,0.00968800011532253,0.00848807998534047,0.00821324716837373,0.010034216207739,0.00932511649825426,0.00846382499845227,0.00967421893617302,0.0105004358217091,0.010151356278906,0.0106525570481313,0.0103710612086387,0.00960404975677161
"Signature 3",0.581580907940804,0.520034889016157,0.564208537754653,0.512978975967266,0.558417058544409,0.554797214417333,0.549853571119685,0.561931875898437,0.538106125476076,0.514906617572354,0.530343360261423,0.539593924174319,0.533722909574388,0.552852018785025,0.546925299696121,0.576805911769554,0.552732416121116,0.577340241484262,0.546213704437861,0.525779124739722,0.520519625227517,0.540604623169949,0.520999759718131,0.554363062408575,0.546924499940065,0.52989979746097,0.540592171926262,0.553343926528483,0.534594378550463,0.515555564881093,0.537962196588473,0.540025024376083,0.531962647369986,0.536704429348313,0.552277934938931,0.560863876128078,0.58027326031693,0.537722452608777,0.555052466658847,0.52847168141648,0.564638491761698,0.527584747444408,0.571923131913178,0.527984441648648,0.51965567025907,0.514708004656493,0.54126664209878,0.515737606836187,0.52656389342934,0.530524320056415,0.530431290544203,0.544291612997323,0.55332387624223,0.533044268703929,0.522660650638796,0.564355068634187,0.558438042499794,0.525082405576871,0.545592247774654,0.572925910612478,0.539811198276107,0.551537358499065,0.539395242150756,0.553107726646942,0.554354078407539,0.587916112040528,0.559852589958428,0.530745827698427,0.562603182804534,0.540095196158541,0.552817829763787,0.529264115624721,0.534603166266756,0.523730777341793,0.548927597275346,0.510794060873953,0.527316885843731,0.536962933643569,0.553332120437566,0.511030151648549,0.540597269778871,0.536145038358247,0.532539805520285,0.524418674922077,0.57191083263933,0.552191241541148,0.538157484888913,0.581219589130597,0.543611435849666,0.525502613819537,0.526441727143868,0.55723899908942,0.541929717524988,0.532322391943983,0.517742228486827,0.588461523729577,0.555976032927106,0.536661907008911,0.546708244208325,0.562640993102862
"Signature 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 5",0.00455814396428928,0,0,0,0,0,0,0,0.0338527631083616,0,0.0300844911075656,0.00434635811784303,0,0,0,0,0.00462058848694047,0,0,0,0,1.50719710814204e-05,0,0,0,0,0,0,0,0,0.044314802916007,0.0359323420500617,0,0,0.0162995519202678,0,0,0,0,0,0,0,0,0,0.00958188565001785,0,0,0,0,0,0,0.0200188306111556,0,0.0383579421655447,0.0153652840353797,0,0,0,0,0,0,0,0,0,0,0,0.0123080139316021,0.00258801430121342,0,0,0,0.0306408306942133,0.00596945130741181,0,0,0,0,0,0,0,0,0.0274989947261853,0,0,0,0,0,0,0,0,0,0,0.0344237425332186,0,0,0,0,0,0.0166611656643838,0
"Signature 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 7",0,0,0,0,0,0,0,0,0,0,0,0,0.000702749614155623,0,0,0,0,0,0,0,0.000699266991123374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000246399016416166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000702779812595855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 8",0.0838114685704067,0.134634317586847,0.102009549366311,0.11861828052416,0.0999422678128646,0.101178317855914,0.110379528251897,0.0994357966354133,0.110110634324822,0.123961784667439,0.114012101540798,0.0910669062885041,0.108532586212126,0.10765578975345,0.123224675084522,0.101334901354259,0.100854413779385,0.100692220340901,0.117521557828705,0.126900515494095,0.109948541614405,0.100065349099803,0.145688793030514,0.0970768182349305,0.112955329843407,0.11782500132847,0.108426772144821,0.124896055880916,0.112216919424514,0.108576901100775,0.107113567448411,0.115425194095967,0.111424964091335,0.120977063083968,0.112609111810956,0.10694220349917,0.0941500186384966,0.113180248450515,0.122573916381272,0.128760737243439,0.104994779684241,0.124561344535484,0.0933634106214281,0.111409733656392,0.127920047177796,0.128719876339064,0.124108621541069,0.129252175351844,0.11578594350715,0.111508058052555,0.123802672669052,0.1055530157315,0.113653739036566,0.107722749593639,0.131415667260814,0.107377002024005,0.0927525625983598,0.128039381849501,0.115650652704739,0.10574061407516,0.125952307874839,0.104847877900714,0.126292599656784,0.0917721334599172,0.0904964989373905,0.0822578756628795,0.105839195483034,0.130049157265478,0.0967640575207768,0.106141832631164,0.0964094504698824,0.125497468363008,0.100018099154144,0.135568586939854,0.105821156728924,0.121659977710412,0.128970274631937,0.109696675894058,0.110459517808168,0.127344597309437,0.131548115324312,0.122709765089503,0.115403865687761,0.120232015415013,0.107680157805163,0.11049176454175,0.134835091660417,0.0803165683426121,0.118028281608638,0.107337261958734,0.105858376032659,0.10251091653772,0.118412414695711,0.127637774306792,0.134144762050932,0.0794318073868831,0.0970219689211002,0.109566579288101,0.117382674161805,0.125006749189249
"Signature 9",0.0342676465150494,0.0474283784140691,0.0519374640427801,0.0542217021121547,0.053650066828106,0.0532857185661776,0.0584869025488894,0.0542944547735245,0.0449116905389305,0.0506812703908689,0.0492407569553502,0.0555273774838711,0.058073527226685,0.05852860998939,0.047946758255503,0.0410705475295439,0.0218477717874523,0.0406976105213733,0.0393417992581563,0.0456635297978868,0.0492298932778656,0.0609389832688143,0.0295565652424831,0.0518778668959759,0.0414123701206096,0.0601400822082835,0.0568299171343929,0.0445331076518061,0.056532369823399,0.032495859654452,0.0292310828961332,0.0334352021043374,0.0501568741894963,0.0511293979888977,0.0478112445549042,0.0481524875213591,0.036733350441956,0.0571997761014906,0.0294275826676616,0.0477313577963695,0.0429237491273469,0.054731251993957,0.0421325271309346,0.0605953997933759,0.0497001949618692,0.0463061150740977,0.04918810635693,0.0427278880583286,0.0462531319208291,0.0599706600978787,0.047901274058162,0.0542169110940447,0.0488974911797168,0.0436191222227013,0.0463861294968878,0.0369572993557482,0.047744878426812,0.0524447564230923,0.0578305570277802,0.0432733208362698,0.0535220588153972,0.0531892943858318,0.0459699995167864,0.0540137998773743,0.0475661392555044,0.0374242162318786,0.0438166987011363,0.0501701255695253,0.05370992132519,0.0604034548124892,0.0578664302483281,0.0412023554632546,0.0577992444246139,0.0501453249511582,0.059835941328366,0.0554414752791926,0.0515545660431918,0.0506501449288693,0.0470858829928023,0.0508539690320835,0.0428404604706087,0.0388767114423545,0.056425278282124,0.0415935537911008,0.0318385725165749,0.0560067255445542,0.0383181218510842,0.034208259833043,0.0499435275897176,0.0580806855293255,0.0569747909204735,0.0597624781799407,0.0371023275738911,0.0493272064936394,0.0494937875089415,0.0384997186068452,0.0459492676802019,0.0593757336920014,0.0486926919359175,0.0367255129607446
"Signature 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
