"","Trial_1","Trial_2","Trial_3","Trial_4","Trial_5","Trial_6","Trial_7","Trial_8","Trial_9","Trial_10","Trial_11","Trial_12","Trial_13","Trial_14","Trial_15","Trial_16","Trial_17","Trial_18","Trial_19","Trial_20","Trial_21","Trial_22","Trial_23","Trial_24","Trial_25","Trial_26","Trial_27","Trial_28","Trial_29","Trial_30","Trial_31","Trial_32","Trial_33","Trial_34","Trial_35","Trial_36","Trial_37","Trial_38","Trial_39","Trial_40","Trial_41","Trial_42","Trial_43","Trial_44","Trial_45","Trial_46","Trial_47","Trial_48","Trial_49","Trial_50","Trial_51","Trial_52","Trial_53","Trial_54","Trial_55","Trial_56","Trial_57","Trial_58","Trial_59","Trial_60","Trial_61","Trial_62","Trial_63","Trial_64","Trial_65","Trial_66","Trial_67","Trial_68","Trial_69","Trial_70","Trial_71","Trial_72","Trial_73","Trial_74","Trial_75","Trial_76","Trial_77","Trial_78","Trial_79","Trial_80","Trial_81","Trial_82","Trial_83","Trial_84","Trial_85","Trial_86","Trial_87","Trial_88","Trial_89","Trial_90","Trial_91","Trial_92","Trial_93","Trial_94","Trial_95","Trial_96","Trial_97","Trial_98","Trial_99","Trial_100"
"Signature 1",0.0957534732363321,0.0930480719948375,0.0938767795198594,0.0921146285281844,0.0922950303671818,0.0895576562489172,0.0952737623636604,0.0972939735817875,0.0918619502893784,0.0942911968573348,0.0981959463825354,0.0949329328048773,0.0911848020656919,0.0966640044475695,0.0964607589343654,0.093190632473236,0.0925454425100756,0.0887291708344353,0.093904992119896,0.100790635902978,0.0989345501151252,0.0964998316833479,0.0917754811176765,0.092333063110585,0.0987252155530924,0.0949342264404108,0.103126755164012,0.0955952306530515,0.0935347455133145,0.095097609553203,0.0956488286248613,0.0909569676343907,0.0911771097286785,0.0914284595817789,0.0953200288912351,0.092233977528793,0.0981244733630814,0.0951807110640589,0.0953767949510092,0.0940609450554118,0.0951087838687318,0.0989230083635476,0.0934260324605153,0.0966490656539397,0.0935342300272028,0.0943555182070678,0.095935836630889,0.093263758315315,0.0938208769859159,0.0945247630421597,0.0947276052669696,0.0959862059435236,0.0972493655701574,0.0988333093363145,0.0916128902634937,0.0992140710689439,0.0928820418931057,0.0975751221751749,0.096405540549474,0.0885446694618565,0.0954889542756819,0.0942444792802674,0.0986997237328744,0.0907873732893299,0.0913725306366305,0.0920753513791423,0.0929500361309204,0.0920414011419546,0.0946581715428374,0.0930196862405039,0.0940533330586356,0.0941267417720565,0.0981357713788702,0.091957798623743,0.0960476481205562,0.0979177194635797,0.0983462184320978,0.0957748035480863,0.0937108606666445,0.096427774102176,0.0935424584747033,0.0932318566476856,0.092675351051222,0.0974575248944849,0.0918153185046501,0.0931594263702329,0.0958881236576059,0.0937495578807117,0.0916138225418471,0.0948065279205477,0.0997841934958543,0.09241211622685,0.0896502090607539,0.0938048494292167,0.0939964233402153,0.0983483270653681,0.0939089436723134,0.0968415725357835,0.0989166579696711,0.0969463359815799
"Signature 2",0.013406416555042,0.0141350280638583,0.0136597921803656,0.0134791579634471,0.012499041670007,0.0131270180683674,0.0135679978675445,0.0126303515572708,0.0127963510370831,0.0130728353618568,0.0131711645407542,0.0139055383670276,0.0134089361588756,0.0140889803917665,0.0132981703534584,0.0131115866764746,0.0130732435889225,0.0146129158139423,0.0119405151633554,0.0121941036792743,0.0125661855080669,0.013731514240551,0.0124770317966233,0.0134587395052486,0.0126527503451327,0.0144178942686725,0.013598818253556,0.0141730690829615,0.0128284244155121,0.0134691333862213,0.0136219707839166,0.0133429991104189,0.0126825430263276,0.0142769933065903,0.0138052401012427,0.0116040781839828,0.0129398957936542,0.0127790786770509,0.0124083031443736,0.0136155069542747,0.0142867242987635,0.0131130072458868,0.0131526424712853,0.0145976515433145,0.0139151910127509,0.0130522918294623,0.0125335115440201,0.0138592767788361,0.0142729757977426,0.0138367342863321,0.012912764530633,0.0138741560794109,0.0135496689230668,0.0127894380184513,0.0130267661881779,0.0128677591981401,0.0122763329286563,0.0127370954755602,0.0136742596788965,0.0132024343090323,0.0136547772732757,0.0127956502226546,0.0137499676108507,0.0133500914970866,0.0138816479498018,0.0136610573349838,0.0122838662194869,0.0131838649124103,0.0140245656687369,0.0121735372856165,0.013822289312324,0.0136254970312918,0.0130056906825448,0.013930313527348,0.0134563441666896,0.0124188834112659,0.0137387981561561,0.0135701814699267,0.0141933918024226,0.0133926063802396,0.01305816400165,0.0116891424341063,0.0131829126082901,0.012471447006514,0.0143380627280739,0.0127358227823623,0.0122897898239761,0.0136504226695084,0.0133104736042329,0.0136065698266803,0.0126807750213679,0.0128573129650537,0.013193676165409,0.0124323963274388,0.013214781783496,0.0132552083811227,0.0131196053619395,0.0131149336098898,0.0136565611660538,0.0137624296740995
"Signature 3",0.599937132297093,0.60659109468402,0.604775888437488,0.605085228490604,0.580706964194254,0.59381026789085,0.605154739963004,0.618451775305089,0.580138522788635,0.602914792635008,0.612462990943026,0.597640952494037,0.585066823990858,0.603262750081029,0.607800466979081,0.582536679999035,0.577820357779132,0.60400976722825,0.583744153344124,0.599296363896473,0.590949956632777,0.616432740901752,0.575688811705827,0.597774032658702,0.595801282705421,0.597513204089863,0.596886297355662,0.616271230488517,0.598796675658339,0.610035634319006,0.579517556473761,0.59444029823424,0.588621060101176,0.599832674309213,0.60685778417385,0.587260630758185,0.589067268679061,0.600179960193985,0.587347032396726,0.592587458288458,0.610185791815888,0.611668990430503,0.594117787503593,0.600743577073957,0.616008224563815,0.599132883189671,0.591175165331421,0.612514851256484,0.611066872080713,0.593130750908757,0.579770785059305,0.615161023723459,0.616067052719283,0.597070951399803,0.587425834677608,0.61410584035501,0.588421018991237,0.598999701278076,0.600469850924146,0.58905841142514,0.590439272559698,0.575967513750977,0.60306556576148,0.574150330308808,0.589736728733952,0.609777669381583,0.588648710391808,0.607245124460278,0.613396815067062,0.593174121804427,0.613420763353052,0.585613968915203,0.614026215660476,0.607138928202275,0.607782861976503,0.589395084317488,0.613548295238714,0.618022693886915,0.609527812440258,0.601061808032543,0.599911951538743,0.583888628737601,0.591990347169382,0.612282047834112,0.593709317402156,0.567028817246144,0.595866499969,0.589048731749586,0.588539141180025,0.604236324903278,0.605595642929625,0.592341190252091,0.588692178295686,0.582784816956966,0.586410889361351,0.591480921888055,0.582357566183913,0.590943375620195,0.617139538200379,0.599218930255125
"Signature 4",0.000354449237845889,0.00108037235697865,0.00139695805947177,0,0,0,0.0010492795744904,0.00102477511480137,0,0,0,0,0,0,0.00434593565029912,0,0,0,0,0.000273114375681369,0,4.98187461305044e-05,0,0,0,0,0,0,0,0,0,0,0,7.11234120161557e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133640427378243,0,0.00207337394215993,0,0.00176887140791081,0,0,0,0,0,0,0.00494936772979518,0,0,0,0.000630812558829986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00433229168807895,0,0,0,0,0,0,0,0,0,0,0,0.000585307484955096,0,0,0,0,0,0,0,0,0,0,0
"Signature 5",0,0,0,0,0,0,0.0208840998886113,0,0,0.00246239349719471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16358599743748e-05,0,0.0121302986379227,0,0,0,0,0.00974046153656953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000175182223997139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064095446298392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137509658389154,0,0,0,0,0,0,0,0
"Signature 6",0,0,0,0,0,0,0,0,0,0.000423420938414744,0,0,0,0,0.000509932521521857,0,0,0.00160467526100842,0,0,0.000452447761532878,4.07358599439953e-06,0,0,0,0,0,0,0.000210385409854792,0.00292207693896298,0,0,0,0,0.000655885199955392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123922331595987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00190952411149749,0,0,0,0,0.0011718379060333,0,0,0,0.000862695589589384,0.00172591988564174,0,0,0,0,0.000346703907511659,0,0,0,0,0,0,0,0,0,0.000710258377291163,0,0,0,0.000621360543075318,0,0.00248386795955385,0,0,0,0,0
"Signature 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 8",0.0112095161665491,0.0139215025450876,0.0200120543319067,0.0195606789645248,0.0326512638665035,0.0289477702953557,0.00113195805060048,0.00410189431983991,0.0399907027861293,0.00978724925612185,0.00289992135479722,0.0313235895506982,0.0342445887021103,0.015083605355841,0.00492768204635853,0.04160596198705,0.040571925149941,0.0208347129456072,0.0263661742837924,0.00687425243945415,0.0192159181841452,0.00555096604153314,0.0376994506047183,0.02264687278897,0.0212738052011232,0.0210682212398601,0.0117696521163937,0.00504341004333203,0.009797121628813,0.00539933728863241,0.0246192367354372,0.021775494893639,0.0247889531742614,0.0149794469801496,0.016247666600004,0.0217330245629385,0.0250952150099864,0.0119580003329665,0.0275805562103933,0.0202153134158401,0.00482123701198538,0.010797958543792,0.0305154702483672,0.0201202017997711,0.0154674172580276,0.0262274412737104,0.0193262994069979,0.00946309311689266,0.00597823774893009,0.0128510443949477,0.0348065733858638,0.000281052778914507,0.0169015640906457,0.0199872958153806,0.0341357890352729,0.00871532774794683,0.0334840162437102,0.0140739052306969,0.00458681405412123,0.0348972461073931,0.0314920513890202,0.044872437456393,0.0109704494035936,0.0383830086329388,0.023943152062428,0.0182008764247718,0.0326254762405904,0.0134690068841296,0.0130514805631785,0.0266323388204415,0.0136017679941829,0.0277783035117536,0.00271904550012772,0.0215338343209807,0.021109491575167,0.0322139603503072,0.00112745485409792,0.00664869125060048,0.00570838025938357,0.0191738689584934,0.0250378541208166,0.0351833844027502,0.0210745906195274,0.00972754301516721,0.0300981633494461,0.0355371133199711,0.0212549429178043,0.033862154985695,0.0294120929694953,0.0228843038788471,0.00117006415091816,0.036380970065215,0.0352509491939805,0.0282197989676566,0.0391326928849904,0.0303909937773736,0.0357045871653379,0.026249502312394,0.00376185792806934,0.0196776342589927
"Signature 9",0.0868240714839252,0.0855417357329955,0.0731115376668875,0.0843844538404071,0.0820303742793081,0.0849758195899356,0.0737808837115712,0.0747089589616486,0.0854413466792555,0.0788039515990763,0.0788392615554511,0.070002241793952,0.0794845369039299,0.0860988040790861,0.0846434434783088,0.0817258103438736,0.0861139765650915,0.0713626775180399,0.0846552768298014,0.0720428476688668,0.0753688515580945,0.0736334656149009,0.0839352791548722,0.0776851517762437,0.0813508188628256,0.0776612807232121,0.0839075000554339,0.0830211526802892,0.0718101800418415,0.0700983649561216,0.0834298981324358,0.0902721571222,0.0843793663369944,0.0848010982245214,0.0648773606313652,0.0870604312052406,0.0920488575489066,0.0871913080892186,0.0836468123412282,0.0803975245519866,0.0776396461688248,0.0773198458670215,0.0808184885565835,0.0806304231114291,0.0830615843830697,0.0827573100763863,0.0800937476004478,0.0838202105888479,0.087981038490338,0.0884699363973956,0.077942454835436,0.0873736447192844,0.074348841445658,0.081512962581259,0.0790859288977831,0.0746123411955178,0.0756018585668444,0.0793759891982341,0.0853244776049684,0.0860969207026038,0.0855578121805962,0.0827915032116777,0.0788039445190378,0.0843827312009947,0.0858877539822778,0.0764554939871413,0.0835636045990077,0.0865831737047698,0.078454413430255,0.086042140734123,0.0755539382265037,0.0839383384109248,0.0665330373435642,0.0781182807154537,0.0700109188751856,0.0822064788874813,0.0731117754085485,0.0668462360889175,0.0768532098679746,0.0853788610123703,0.0768718370521252,0.084722862474452,0.0809872548745222,0.0716278506040994,0.0708269145343466,0.085323541441409,0.0806091466378024,0.0873492789610883,0.0774474575900893,0.0750511969336174,0.0832422157566241,0.074888331844316,0.0810716974310809,0.0832970977388577,0.0732261770284214,0.0856068985993427,0.0876094342255212,0.0712628363492925,0.0674032220283031,0.0721922504209365
"Signature 10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
