"","Signature 1","Signature 2","Signature 3","Signature 4","Signature 5","Signature 6","Signature 7","Signature 8","Signature 9","Signature 10","Signature 11","Signature 12","Signature 13","Signature 14","Signature 15","Signature 16","Signature 17","Signature 18","Signature 19","Signature 20","Signature 21","Signature 22","Signature 23","Signature 24","Signature 25","Signature 26","Signature 27","Signature 28","Signature 29","Signature 30"
"1",0.00719643485336823,0.034343358228263,0.359703786974871,0.0634280103354662,0.132162015456225,0.0139805395894447,0.00361116576743551,0.204970950687936,0.0239655131531704,0,0.000291246642025032,0.000543985195441587,0.0976791272157074,0,0,0.00367633943420961,0,0,0.0222436960392167,0,0.00768383664215084,0.000508603893835466,0,0,0,0,0.0162496554344562,0.00776173445677682,0,0
"2",0.00954530851508664,0.035432824420723,0.369407913103472,0.0615562816172218,0.13336866883343,0.00780749240489539,0.00139927447229941,0.190934792577722,0.0245411709052575,0,0.00158186460153411,0.000675982824336578,0.0982916561154057,0,0,0.0125352498034731,0,0,0.0203438944877133,0,0.00990440817207929,0.00138785248769595,0,0,0,0,0.0155933781482744,0.00569198650937953,0,0
"3",0.00510625222792262,0.0348897077674389,0.34885764813107,0.0619869175616718,0.133202396876461,0.0117468634919018,0,0.216519537207309,0.0262201726473325,0,0.00388003853838267,0.00122605053634492,0.0990784698715658,0,0,0.00200972488750902,0,0,0.0218207550019899,0,0.00954887867567132,0.00136533860147577,0,0,0,0,0.015238982516667,0.00730226545928568,0,0
"4",0.00471204880704552,0.0341302026614984,0.343550331712894,0.0615579177041897,0.119638153617751,0.0149233095786595,0.00592271075158138,0.21604033103745,0.0288962133720472,0,0,0,0.0994280722861339,0,0,0.0149510209114101,0,0,0.0210792610938741,0,0.0119837525356467,0.00143529524748514,0.000319765812589127,0,0,0,0.0151445977448618,0.0062870151248819,0,0
"5",0.00730012510664921,0.0355198209480807,0.342693060245862,0.065141458367504,0.137869672819857,0.0110795651614485,0,0.212200069461761,0.0214647059384355,0,0.00633088318415949,0,0.099751352362139,0,0,0.010002439697097,0,0,0.0174390964037747,0,0.00859468711241787,0.00111369405116579,0,0,0,0,0.0151976145276158,0.00830175461203262,0,0
"6",0.00555955374932261,0.0338674379382167,0.340685437500612,0.0525912587529043,0.0900997265155633,0.0135902771030686,0.00354427568883148,0.234977238035209,0.0271263908122969,0,0,0,0.101099348996739,0,0,0.027812040251732,0,0,0.0305547820507959,0,0.00849629253086047,0.000818646635054359,0,0.00221609132364571,0,0,0.0154067865374044,0.00902091892702612,0,0.00253349665071614
"7",0.0126634604881042,0.034897812844279,0.375180340713778,0.0530888025360597,0.126363037246167,0.00727348535132119,0,0.194914034550836,0.0231032991127855,0,0.00316611001764432,0,0.0961862562669376,0,0,0.0183835274818097,0,0,0.0242014370965071,0,0.0050025457497938,0.00243190834828075,0,0.000383251700330588,0,0,0.015600934789197,0.00715975570616927,0,0
"8",0.00379006450277851,0.0344979763909117,0.330492810852972,0.059425266667937,0.103687193101325,0.0139849638745482,0,0.230336657509254,0.0313906771639152,0,0.00514774786710091,0.00161284765736172,0.100215444099515,0,0,0.0246365862582795,0,0,0.0292160123242697,0,0.00798357658121324,0.000652588225176016,0,0,0,0,0.0159134848139228,0.00701610210951926,0,0
"9",0.00415658492730488,0.0355249244488002,0.36305711358894,0.0717265116022101,0.135160321219621,0.0172925976594885,0.00111221026123412,0.181121913459117,0.0333142510943825,0,0.00456079364750863,0.000737921496370261,0.0983330849855846,0,0,0.00684061967371839,0,0,0.0153840200542295,0,0.00869400052324257,0.00236840903581871,0,0,5.67298832159865e-05,0.000594650746017546,0.0160623303727912,0.00390101132040483,0,0
"10",0.00424071355454144,0.0349469342836524,0.353168969135392,0.0677021573709835,0.103524230304325,0.013477214599189,0.00446293913512486,0.218742502556185,0.0221327684371653,0,0.00257180542271304,0.000390250631875285,0.0989380319516585,0,0,0.00645950191287221,0,0,0.0278336416083574,0,0.0134148190791642,0.00163300166813859,0,0,0,0,0.0155881098355885,0.0107724085130738,0,0
