"","Trial_1","Trial_2","Trial_3","Trial_4","Trial_5","Trial_6","Trial_7","Trial_8","Trial_9","Trial_10","Trial_11","Trial_12","Trial_13","Trial_14","Trial_15","Trial_16","Trial_17","Trial_18","Trial_19","Trial_20","Trial_21","Trial_22","Trial_23","Trial_24","Trial_25","Trial_26","Trial_27","Trial_28","Trial_29","Trial_30","Trial_31","Trial_32","Trial_33","Trial_34","Trial_35","Trial_36","Trial_37","Trial_38","Trial_39","Trial_40","Trial_41","Trial_42","Trial_43","Trial_44","Trial_45","Trial_46","Trial_47","Trial_48","Trial_49","Trial_50","Trial_51","Trial_52","Trial_53","Trial_54","Trial_55","Trial_56","Trial_57","Trial_58","Trial_59","Trial_60","Trial_61","Trial_62","Trial_63","Trial_64","Trial_65","Trial_66","Trial_67","Trial_68","Trial_69","Trial_70","Trial_71","Trial_72","Trial_73","Trial_74","Trial_75","Trial_76","Trial_77","Trial_78","Trial_79","Trial_80","Trial_81","Trial_82","Trial_83","Trial_84","Trial_85","Trial_86","Trial_87","Trial_88","Trial_89","Trial_90","Trial_91","Trial_92","Trial_93","Trial_94","Trial_95","Trial_96","Trial_97","Trial_98","Trial_99","Trial_100"
"Signature 1",0.0164153918167818,0.0270183564065175,0.0162095705522875,0.0151596919790219,0.0262887110198008,0.0172530670014934,0.0210100990588704,0.021039627129389,0.0214472111676375,0.0264324590963828,0.0130095604593984,0.0138305278552857,0.0233199204395954,0.00371587176409656,0.0122140158741654,0.0136050139053364,0.0300115372743777,0.0120537603670782,0.00883940364167874,0.0200672960325991,0.0166539577148946,0.00143929612891649,0,0.00157564276613375,0.0206441672373097,0.0191377093183747,0.00786827357824811,0.0151090805535399,0.0169343993612575,0.0181943573245297,0.0217997083473467,0.0160502338519184,0.0164694762854654,0.0279728608552162,0.0195084404071705,0.0204746394987496,0.0141364214586898,0.0152052154882526,0.0182524643532811,0.0181347064435809,0.0115458570617867,0.0201290486346353,0.0205318467722318,0.00747485050014593,0.0268198900007036,0.014249177857171,0.0162397609612839,0.015237373190488,0.0238853307748662,0.00077762056435711,0.025839870431928,0.0148969628251527,0.017185289128984,0,0.00339212729198336,0.0212163526228803,0.00112469499095892,0.0175107337863428,0.0256249358053921,0.00885572681414091,0.00720766038217891,0.0216962606083339,0.0116958950910833,0.00684557213607876,0.0360675027126577,0.0157777902534613,0.00159037752841049,0.0137248587255942,0.0176255899812109,0.0247772350803934,0.0165962650661969,0.026515089422448,0.0140249756670005,0.018952139261159,0.00659162634855246,0.0202817550916097,0.0116367234642605,0.0276856585285909,0.0284167622905068,0.013959541063512,0.014091595819539,0.00139286548837324,0.0175952295160849,0.0136276442900235,0.0277200277712675,0.0248431374973552,0.0160644226104109,0.0180510122664295,0.0271145457475059,0.0109757301108517,0.00400565467689109,0.00991112997427656,0.0240262508039417,0.0138434022172349,0.00983309436260861,0.0275375257518338,0.0255102223824432,0.0185603225864942,0.01825401495802,0.0258909707194746
"Signature 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.82894100093637e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 5",0,0,0.0159689927558876,0,0,0.0106051372958748,0.0276130586309628,0,0,0,0.00715738686952544,0,0,0.0301923109954832,0,0,0,0,0,0,0,0.00966796563501622,0.0291176761738347,0,0.0406293678435434,0,0.0410524540413435,0.00511063463044515,0.00297533074343245,0.00561831734930771,0,0.0325959787802846,0,0.0100817042602674,0,0,0.00931699550708322,0,0,0.00836887534328812,0,0.0122022145861344,0,0,0,0.0160672182106749,0,0,0,0,0.0453054167871449,0.0225440024310017,0,0.0150208809701109,0.0121938407588315,0,0,0,0,0.0129160772853526,0.00905212442052859,0,0.0014941617622274,0,0.00234563638953812,0.0316361252596989,0.0155352699617912,0,0,0,0,0,0,0,0,0,0,0,0.0111742968982909,0,0.00117484789200228,0.00750854132315424,0.0129408397038572,0,0,0,0,0.0216129661891908,0,0.0166291026659284,0.0234647420328727,0.0160899407565953,0,0.0242138613298308,0.0277545385394054,0,0,0,0.00485609184100669,0
"Signature 6",0.0369159307152681,0.058046297509676,0.0352485313954644,0.0438596051137649,0.025224845774791,0.0476180254142918,0.0331748572901801,0.0289011846893851,0.0341003762587112,0.0224103247452124,0.0399425343475372,0.0358486377337092,0.0368090751085613,0.0279081542832898,0.0436805508036574,0.0377413145763238,0.0253916935538407,0.0450447554370953,0.0301664916419441,0.0391892100835202,0.0340167971071111,0.0300503175454235,0.0201354533452526,0.050631600182742,0.028962134493236,0.031497923216929,0.0340716916148849,0.0534217714003694,0.0454858395808827,0.0332126507941037,0.0323776761533954,0.0321192475702273,0.0294709575264043,0.0544078020048906,0.0297913274385506,0.0311894102235937,0.0383197661281042,0.0411232179553774,0.0372826882189391,0.0497647619252571,0.0506506956829165,0.0405159485095925,0.0353993699845262,0.0552672375870812,0.0227523563612438,0.0307147046980475,0.0470108884324631,0.0393207641186298,0.0249697978353327,0.0284307727620388,0.010862716760572,0.0380257815196765,0.0351672616971331,0.0275351831214976,0.0211923669889456,0.0306080956014099,0.034189256477557,0.0232708488338591,0.0301661226977153,0.0405674655013193,0.0336980233143616,0.0315914306840212,0.0403772158052654,0.0390205155479442,0.0407090543018512,0.0388008723636773,0.0378911496313437,0.0407349417334899,0.0341363409254923,0.024677320190965,0.029706116864594,0.044431873825394,0.038809027664932,0.0339527314028588,0.0325146527865908,0.0359272593023844,0.0290781750114421,0.0340785563525145,0.0292888468635794,0.0403219125836056,0.0420610948629518,0.0225663029781195,0.0446027210235344,0.0436364036860422,0.030997768010635,0.0266676763530664,0.0366586635131905,0.0359075427224904,0.0349338839094287,0.0365033518297639,0.046935719185877,0.0383391182555309,0.0279733232137213,0.0375333348786751,0.0335127819723832,0.0211534212358621,0.0408791602492953,0.0331655429658255,0.0563230417546781,0.0350976754032304
"Signature 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.82795790600409e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000150485825822208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 9",0.188080587254461,0.209362229123818,0.213689069312696,0.217027237685913,0.218388868436576,0.213171902822438,0.210808544233566,0.202974718361947,0.203248276821989,0.199861266390992,0.217053816567198,0.201700917107665,0.219276827193087,0.210442676066755,0.215594685409951,0.205649158642159,0.203635606520184,0.214613143252233,0.190838139309667,0.198897933355922,0.214632191796366,0.216075660037705,0.212012391069494,0.193042409791121,0.197652004045327,0.196252503042427,0.209418808094898,0.2103422593988,0.208177188536825,0.201888328450817,0.20683358930992,0.192525418803119,0.209186146379703,0.211692832374527,0.195984862007656,0.205676684688902,0.209185021143279,0.20952428379764,0.209452745728619,0.202290587082733,0.20396803959454,0.212463860489002,0.199390219834282,0.212762570088319,0.199838334383987,0.210711230769855,0.203842243532205,0.202023106203598,0.20756125420507,0.216388555465885,0.182840840930418,0.206294858283265,0.218839361330795,0.220934828960955,0.212115788699589,0.204749524750267,0.219188373125677,0.211338769051093,0.201171035491534,0.210692383064315,0.208650253865234,0.206045593166404,0.213678288764123,0.209321192333406,0.215875315897108,0.204924219178019,0.213379324856527,0.205329737333908,0.209287954358062,0.209371826906137,0.215425429659025,0.195324467091974,0.192909877492787,0.205111635434667,0.212019265383068,0.190621975921057,0.217126023809321,0.20172851785622,0.199090391249228,0.214560344145013,0.200609837939864,0.188919100533649,0.215201644791474,0.21594353016583,0.204433752545703,0.208871028817536,0.208798078991923,0.217845613895155,0.200233078353581,0.21564413862155,0.211242286985057,0.205362513846157,0.207139361256927,0.208223288444919,0.208304973250374,0.202038571849386,0.202597016979231,0.209253089495076,0.21210627013118,0.192458155518239
"Signature 10",0,0,0,0,0,0,0,8.31615623577262e-05,0,0,0,0.00206489354956818,0,0,0,0,0,0.00119867946796801,0,0,0,0.00238521932585117,0,0.00376330013922478,0,0,0,0,0,0,0,0.00319073662419512,0,0,0,0,0.0019774038980123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00219722702942091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00321174727939983,0,0,0.00055433544964931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205116878799299
